name,HR,HR.err,c,c.err,gmass,gmass.lowerr,gmass.uperr,lmass,lmass.lowerr,lmass.uperr,logsfr,logsfr.lowerr,logsfr.uperr,lssfr,lssfr.lowerr,lssfr.uperr,phmass,pyoung,x1,x1.err,zcmb,global_g,global_g.lowerr,global_g.uperr,global_i,global_i.lowerr,global_i.uperr,host_dec,host_ra,local_g,local_g.lowerr,local_g.uperr,local_i,local_i.lowerr,local_i.uperr,dec,ra
PTF09dnl,-0.14,0.15,0.04,0.03,7.93,-0.11,0.11,7.62,-0.11,0.11,-2.87,-0.01,0.01,-10.5,-0.1,0.1,0.0,99.0,0.69,0.1,0.0232,19.45,-0.03,0.03,18.99,-0.05,0.06,30.4975,260.9237,20.47,-0.03,0.03,19.91,-0.04,0.04,30.4971,260.9242
PTF09dnp,-0.19,0.13,-0.04,0.03,10.71,-0.1,0.1,7.57,-0.15,0.15,-4.62,-0.57,0.38,-12.2,-0.6,0.4,100.0,0.0,-0.84,0.24,0.0374,15.51,-0.01,0.01,14.33,-0.01,0.01,49.5014,229.8556,22.43,-0.1,0.11,21.59,-0.11,0.13,49.499,229.8518
PTF09foz,-0.17,0.12,-0.02,0.03,10.54,-0.1,0.1,8.7,-0.1,0.1,-4.6,-0.53,0.41,-13.3,-0.5,0.4,100.0,0.0,-1.24,0.25,0.0533,16.37,-0.01,0.01,15.31,-0.01,0.01,-9.8819,10.5496,21.0,-0.03,0.03,19.93,-0.03,0.03,-9.8812,10.5488
PTF10hmv,0.35,0.13,0.12,0.03,8.28,-0.1,0.1,7.96,-0.11,0.11,-2.65,-0.02,0.02,-10.6,-0.1,0.1,0.0,97.0,1.35,0.14,0.0322,19.59,-0.02,0.02,19.02,-0.02,0.02,47.2746,182.8888,20.76,-0.03,0.03,20.04,-0.03,0.03,47.2749,182.8886
PTF10mwb,0.13,0.15,-0.03,0.03,9.01,-0.1,0.1,7.98,-0.1,0.11,-3.1,-0.03,0.03,-11.1,-0.1,0.1,0.0,1.0,-0.69,0.1,0.0312,18.07,-0.02,0.02,17.35,-0.02,0.02,40.8813,259.4585,20.92,-0.03,0.04,20.1,-0.04,0.04,40.8811,259.4579
PTF10qjl,0.11,0.12,-0.06,0.03,8.81,-0.1,0.1,7.51,-0.14,0.14,-2.06,-0.01,0.01,-9.6,-0.1,0.1,0.0,100.0,1.27,0.14,0.0576,18.82,-0.01,0.01,18.51,-0.01,0.02,12.1074,249.9968,22.19,-0.07,0.07,21.9,-0.12,0.13,12.1072,249.9975
PTF10qjq,-0.09,0.14,0.03,0.03,9.75,-0.1,0.1,8.97,-0.1,0.1,-1.21,-0.01,0.01,-10.2,-0.1,0.1,0.0,100.0,-0.3,0.1,0.028,15.75,-0.01,0.01,15.12,-0.01,0.01,35.5099,256.8015,17.34,-0.01,0.01,16.84,-0.01,0.01,35.5098,256.8017
PTF10tce,-0.0,0.12,0.01,0.03,10.16,-0.1,0.1,7.68,-0.15,0.15,-3.81,-0.55,0.33,-11.5,-0.6,0.3,94.0,1.0,0.47,0.12,0.0397,16.03,-0.01,0.01,15.21,-0.01,0.01,9.196,349.7906,22.38,-0.1,0.11,21.49,-0.1,0.1,9.1984,349.7927
PTF10wnm,0.02,0.12,-0.02,0.03,10.22,-0.1,0.1,8.17,-0.11,0.11,-2.53,-0.03,0.03,-10.7,-0.1,0.1,98.0,83.0,0.66,0.15,0.0648,16.85,-0.01,0.01,16.08,-0.01,0.01,27.0393,5.5153,21.83,-0.04,0.04,21.12,-0.05,0.06,27.0406,5.515
PTF10wof,0.12,0.12,0.0,0.03,9.69,-0.1,0.1,7.82,-0.13,0.12,-2.87,-0.05,0.05,-10.7,-0.1,0.1,0.0,83.0,0.17,0.12,0.0513,17.56,-0.01,0.01,16.82,-0.01,0.01,15.3588,353.1726,21.97,-0.06,0.07,21.33,-0.07,0.07,15.3588,353.1745
