CID,CIDint,IDSURVEY,TYPE,FIELD,zHD,zHDERR,z,zERR,HOST_LOGMASS,HOST_LOGMASS_ERR,SNRMAX1,SNRMAX2,SNRMAX3,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,RA,DECL,TGAPMAX,MU,MUERR,MUERR_NOSIGMB,MURES,MUPULL,sbar,cbar,ERRCODE,Unnamed: 41
2992,2992,1,120,82S,0.12608,1e-05,0.1266,1e-05,10.231,0.057,36.1775,36.1772,26.4572,53641.155999999995,0.20199999999999999,-0.958839,0.1426,0.09905449999999999,0.031002999999999996,19.7988024581,0.06105069999999999,0.000216004206973,1.28404e-05,0.000119329,-1.44755e-07,-3.06339e-07,63,57.8837,0.6587,55.496922,-0.782694,12.2846,,38.6849,0.066,0.066,-0.179,-2.714,-0.826,0.04,0
5549,5549,1,120,82N,0.11990999999999999,1e-05,0.12124000000000001,1e-05,8.722,0.096,51.687,49.3394,31.0007,53666.09,0.106,0.2533,0.098412,0.0077726,0.022036700000000003,19.3845501297,0.0326307,0.00031635509697,9.69704e-06,0.000311979,-1.93524e-07,-1.6506799999999998e-07,46,63.0079,0.048461000000000004,3.2504779999999998,0.248144,11.5943,,38.7233,0.0487,0.0487,-0.039,-0.8059999999999999,0.271,-0.008,0
6057,6057,1,120,82N,0.06651,1e-05,0.06707,1e-05,10.071,0.049,83.512,72.3782,12.6045,53663.625,0.10099999999999999,-0.420163,0.1093,0.1024,0.0295707,18.4070595656,0.0723461,0.000778338085265,5.50646e-05,-6.0785299999999996e-05,-1.64587e-07,-1.23624e-06,36,49.9393,0.0611687,52.553546999999995,-0.974675,5.6448,,37.3582,0.063,0.063,-0.039,-0.623,-0.39899999999999997,0.092,0
6108,6108,1,120,82N,0.258,1e-05,0.2595,1e-05,9.323,0.119,14.2214,13.5094,9.5201,53675.148,0.649,0.4563,0.6524,0.029648700000000004,0.0449082,21.3011057135,0.05636409999999999,5.41435771687e-05,3.01043e-06,0.00794623,-6.97989e-07,-8.268660000000001e-08,30,16.3507,0.9796,1.8065689999999999,0.34889699999999996,0.34889699999999996,,40.6003,0.1346,0.1346,0.006999999999999999,0.053,0.44,0.031,0
6196,6196,1,120,82N,0.2798,1e-05,0.28135,1e-05,11.406,0.14,11.245,10.5938,8.3391,53669.473,0.177,-1.41714,0.5787,-0.018905500000000002,0.0469144,21.3748576726,0.0553629,5.05873871199e-05,2.8771299999999995e-06,0.00651201,-6.83047e-07,-8.141619999999999e-08,49,30.078,0.9885,-22.368927,-0.502793,-0.502793,,40.5623,0.1384,0.1384,-0.23199999999999998,-1.6740000000000002,-0.914,-0.07,0
6315,6315,1,120,82N,0.26576,1e-05,0.267,1e-05,9.72,0.229,25.2167,17.4715,11.1375,53676.684,0.34700000000000003,-0.09883839999999999,0.3723,-0.198698,0.03853,20.544664030499998,0.0533244,0.000108672752611,4.9342e-06,0.00162781,-4.3313e-07,-1.07586e-07,35,28.8092,0.7604,-49.517272999999996,1.091907,1.091907,,40.474,0.112,0.112,-0.19,-1.694,0.18600000000000003,-0.249,0
6422,6422,1,120,82S,0.185,1e-05,0.18645,1e-05,9.765,0.093,45.2244,31.9139,20.4505,53667.996,0.268,0.8119,0.216,-0.108119,0.0235603,19.965675135799998,0.0341054,0.0001852305109,5.7100599999999995e-06,0.000416107,-2.1258700000000002e-07,-9.44479e-08,50,39.0243,0.8691,-10.861298,-0.663257,-0.663257,,39.7417,0.0626,0.0626,-0.044000000000000004,-0.6970000000000001,0.8859999999999999,-0.121,0
6558,6558,1,118,82S,0.056799463927745826,1e-05,0.05739,1e-05,9.769,0.062,180.9549,83.5158,35.0184,53675.027,0.092,1.0585,0.0915922,-0.024390900000000004,0.023313900000000002,17.4446853751,0.0344827,0.00188861789647,6.04797e-05,-7.80634e-06,-6.34644e-07,-9.95812e-07,25,52.3608,0.00107886,21.701651000000002,-1.2381440000000001,-1.2381440000000001,,36.9956,0.0562,0.0562,-0.05,-0.8859999999999999,1.083,-0.042,64
6924,6924,1,120,82S,0.3264,1e-05,0.328,1e-05,-9.0,-9.0,14.0281,12.1352,8.1399,53674.640999999996,0.14,1.0091,0.7012,-0.0720035,0.042396300000000005,21.3161672207,0.0465904,5.3396729936e-05,2.2193400000000003e-06,0.00839663,-1.0871600000000001e-06,-4.3136e-08,47,35.3284,0.8945,-1.0307620000000002,0.8768540000000001,0.8768540000000001,,41.0079,0.1497,0.1497,-0.171,-1.14,1.507,-0.099,0
7147,7147,1,120,82N,0.10885999999999998,1e-05,0.11022,1e-05,10.562,0.064,67.8528,49.3418,30.1418,53679.668,0.133,-1.94397,0.1577,-0.0933166,0.0235255,19.1729168332,0.035955400000000005,0.000384429959628,1.2618099999999999e-05,0.000257051,-9.696569999999999e-08,-2.03129e-07,36,41.2924,0.2504,-9.981689,-0.05556799999999999,-0.05556799999999999,,38.5173,0.0581,0.0581,-0.023,-0.39299999999999996,-1.923,-0.10099999999999999,0
7243,7243,1,120,82S,0.20323,1e-05,0.20462,1e-05,9.225,0.111,23.5728,13.1889,10.0106,53686.262,0.337,0.7121,0.3883,-0.030588099999999997,0.041714999999999995,20.5113532658,0.0676945,0.000112066676681,7.20339e-06,0.00297895,-8.93222e-07,-1.93431e-07,24,8.2647,0.9993,-31.920959000000003,0.471865,0.471865,,40.033,0.113,0.113,0.022000000000000002,0.19899999999999998,0.6779999999999999,-0.025,0
